Protein	Corr_DrugRep_avg_ContRep_avg	PValue	FDR	Fold-change 	Fold-change 
Q13610	N/A	N/A	N/A	N/A	false
Q9BSJ2	N/A	N/A	N/A	N/A	false
Q9BSJ1	N/A	N/A	N/A	N/A	false
Q9UEU0	N/A	N/A	N/A	N/A	false
B1AKI9	N/A	N/A	N/A	N/A	false
O75964	0.7704468392867407	0.8940414922526274	1.0	0.08975504292978742	false
Q86W42	N/A	N/A	N/A	N/A	false
Q96GW9	N/A	N/A	N/A	N/A	false
P55039	0.6071147657487719	0.30114236881692197	0.7332251141820602	0.05532472261188412	false
Q9H2W6	N/A	N/A	N/A	N/A	false
Q9NRC6	N/A	N/A	N/A	N/A	false
P51911	N/A	N/A	N/A	N/A	false
P55036	0.827545260316129	0.062069481407522956	0.2792368913857678	0.031203370186126907	false
Q01658	0.5945803083904986	N/A	N/A	0.15325256343135318	false
Q9NRC1	N/A	N/A	N/A	N/A	false
Q8IUW3	N/A	N/A	N/A	N/A	false
Q5VUJ6	N/A	N/A	N/A	N/A	false
Q7KZ85	0.6700434325203335	0.9954218813332316	1.0	0.17603855722197723	false
Q5VUJ5	N/A	N/A	N/A	N/A	false
Q01650	N/A	N/A	N/A	N/A	false
Q6ZWC4	N/A	N/A	N/A	N/A	false
Q13608	N/A	N/A	N/A	N/A	false
Q9UET6	N/A	N/A	N/A	N/A	false
Q13601	0.7207064629228014	0.024867548041770295	0.1039858242709592	0.08929157640331349	false
Q86W34	N/A	N/A	N/A	N/A	false
O75955	N/A	N/A	N/A	N/A	false
Q03828	N/A	N/A	N/A	N/A	false
Q86VR2	N/A	N/A	N/A	N/A	false
Q5M9N0	N/A	N/A	N/A	N/A	false
Q96GV9	N/A	N/A	N/A	N/A	false
Q96H79	N/A	N/A	N/A	N/A	false
Q3ZCW2	0.7924333836409203	N/A	N/A	N/A	false
Q8WVM8	0.716668122842329	N/A	N/A	0.10594008760034192	false
Q8WVM7	N/A	N/A	N/A	N/A	false
Q8NGK1	N/A	N/A	N/A	N/A	false
O95503	N/A	N/A	N/A	N/A	false
P78562	N/A	N/A	N/A	N/A	false
Q5TG30	N/A	N/A	N/A	N/A	false
Q8WVM0	N/A	N/A	N/A	N/A	false
Q2QD12	N/A	N/A	N/A	N/A	false
Q86W28	N/A	N/A	N/A	N/A	false
Q9BSH5	N/A	N/A	N/A	N/A	false
Q9BSH4	0.7130068972220226	0.870328040791817	1.0	0.07368840700395222	false
Q86VQ6	0.7371021673689307	0.004245595113057478	0.009632120433399857	0.1344293576873353	false
O75947	0.8752226518752819	0.8190534778581657	1.0	0.026507142389140464	false
Q9H2U9	N/A	N/A	N/A	N/A	false
Q9NRA8	N/A	N/A	N/A	N/A	false
P78559	N/A	N/A	N/A	N/A	false
O75940	0.8464447848228407	0.9988068284958932	1.0	0.09291852319894423	false
Q5TFQ8	N/A	N/A	N/A	N/A	false
Q6UXS9	0.8151300372601997	0.10078458022474204	0.3967083509629699	0.025268523076889666	false
Q9H2U2	0.8665327370118575	0.9470314167460355	1.0	0.057258192316805456	false
Q9H2U1	0.7375670052055238	0.5110976298159599	0.8819253770741512	0.06323341663405001	false
Q9H361	0.9350909691885319	0.019439869760896542	0.07823982690555725	0.00916573239033372	false
Q01638	N/A	N/A	N/A	N/A	false
Q9NRA1	N/A	N/A	N/A	N/A	false
P55011	N/A	N/A	N/A	N/A	false
P25685	0.8456129998375626	0.32954962299573964	0.7571271064426172	0.016379233374317043	false
P55010	0.8183482737365522	0.0014360310940443573	0.00321331290432414	0.09075517830691317	false
Q9UER7	N/A	N/A	N/A	N/A	false
Q9UF33	N/A	N/A	N/A	N/A	false
Q86VP6	0.8773331414832415	0.004038518538498295	0.009301695249359353	0.05844009659131994	false
O75937	0.8661052912732012	0.450989089518839	0.8516060607070344	0.009664547026732348	false
Q9BSG1	N/A	N/A	N/A	N/A	false
O75935	N/A	N/A	N/A	N/A	false
Q86VP3	N/A	N/A	N/A	N/A	false
O75934	0.7799943553475324	0.07786668990943507	0.33601211376404494	0.037795630926337885	false
P55008	N/A	N/A	N/A	N/A	false
Q5SY80	N/A	N/A	N/A	N/A	false
P78549	N/A	N/A	N/A	N/A	false
K7EIZ4	N/A	N/A	N/A	N/A	false
Q01628	N/A	N/A	N/A	N/A	false
Q8NGI2	N/A	N/A	N/A	N/A	false
Q8WVK7	N/A	N/A	N/A	N/A	false
Q8IV53	N/A	N/A	N/A	N/A	false
Q6V9R5	N/A	N/A	N/A	N/A	false
Q6NXG1	N/A	N/A	N/A	N/A	false
Q8IV50	N/A	N/A	N/A	N/A	false
P78540	N/A	N/A	N/A	N/A	false
Q8WVK2	N/A	N/A	N/A	N/A	false
P23497	0.8391293774349513	0.9793778231441963	1.0	0.0776800805044378	false
O75928	N/A	N/A	N/A	N/A	false
O75925	N/A	N/A	N/A	N/A	false
Q8NGH9	N/A	N/A	N/A	N/A	false
O75923	N/A	N/A	N/A	N/A	false
Q6P3X3	N/A	N/A	N/A	N/A	false
Q9H2S6	N/A	N/A	N/A	N/A	false
Q8NGH5	N/A	N/A	N/A	N/A	false
Q8IV48	N/A	N/A	N/A	N/A	false
