Protein	Similarity_Drug_vs_Control	pValue	FDR	Fold-change 	Fold-change 
C56A3.5	0.6645308747140569	0.8578632217052913	0.9995692703162754	0.0654788157756532	false
Y94H6A.9b	0.7091223811095557	N/A	N/A	0.003369020253924932	false
Y26E6A.3	N/A	N/A	N/A	N/A	false
Y94H6A.9a	0.8424708224158713	0.9911620705634983	0.9995692703162754	0.0902814414058892	false
B0261.4b	N/A	N/A	N/A	N/A	false
F43E2.7a	0.9126621176558866	0.892975738363501	0.9995692703162754	0.030717763102400257	false
F02E9.2b	0.8989637028918155	N/A	N/A	N/A	false
F02E9.2a	0.9285714285714286	N/A	N/A	N/A	false
K08F4.9	0.7964336560387192	0.08041666443167927	0.8472652878560241	0.05424693654014237	false
K08F4.8	0.8137381670435236	0.3513793233557645	0.9995692703162754	0.005723247150738831	false
Y73E7A.1b	0.7631208972325818	N/A	N/A	0.1599946439020512	false
K08F4.7	N/A	N/A	N/A	N/A	false
F23H12.2	0.8716086974082531	N/A	N/A	0.01492496730560982	false
Y73E7A.1a	0.7862857871161365	0.9995786957462518	0.9995692703162754	0.11428060529637024	false
Y54G2A.18	0.7203806905541547	0.31279495108135014	0.9995692703162754	0.019994324296204638	false
C25A1.8	0.8288946524853639	0.18056526896351843	0.9995692703162754	0.007272170833408364	false
Y41E3.4d	0.8911524147915278	0.8609882004159257	0.9995692703162754	0.017126320674995702	false
Y41E3.4c	0.9126463961287222	0.934486593875549	0.9995692703162754	0.019722965438503135	false
C25A1.6	0.8834065946278389	N/A	N/A	0.04136129566835688	false
Y41E3.4b	0.8827947766336005	0.490135589247801	0.9995692703162754	0.009622109315205067	false
K08F4.2	0.8885955255137777	0.3015285597774424	0.9995692703162754	0.0053748149668956845	false
F13G3.11	N/A	N/A	N/A	N/A	false
Y41E3.4a	0.9212654190709335	0.9538618247199367	0.9995692703162754	0.019023294536710342	false
Y54G2A.14	0.7585622364500618	N/A	N/A	0.03929485081115633	false
C25A1.4	0.8366200777792759	0.025467387521188527	0.18719211822660098	0.060300782684440626	false
K01H12.2	0.9325377524206188	0.9845787319452035	0.9995692703162754	0.025869325367199915	false
C25A1.3	N/A	N/A	N/A	N/A	false
F01G4.6b	0.9207988865514184	0.9781753989206012	0.9995692703162754	0.024463385767925422	false
F01G4.6a	0.9244062028199448	0.949539281971673	0.9995692703162754	0.022161940264491437	false
Y45F10A.4	N/A	N/A	N/A	N/A	false
C52B9.1b	N/A	N/A	N/A	N/A	false
C01F1.2	N/A	N/A	N/A	N/A	false
F56D2.6b	0.7908941367268367	0.41336354472080505	0.9995692703162754	0.027350288323900733	false
F56D2.6a	0.7830764910435398	0.4548096274758995	0.9995692703162754	0.024403768688248808	false
C38C3.5c	0.8559033388102577	0.04507616805906757	0.454554910649275	0.04218106446962321	false
C38C3.5b	0.8185243281745535	0.03999904056340259	0.38583958636383275	0.05555847859183145	false
M106.4c	0.7835915718683556	0.867223668292148	0.9995692703162754	0.058821021793643326	false
C38C3.5a	0.8058664288525422	0.04254151784974851	0.4177059992389972	0.07823418175071373	false
