Protein	Corr_DrugRep_avg_ContRep_avg	PValue	FDR	Fold-change 	Fold-change 
sp|P9WKU3|Y497_MYCTU	N/A	N/A	N/A	N/A	false
tr|O86374|O86374_MYCTU	0.7652301510940063	N/A	N/A	0.08491407379972392	false
sp|P9WMI7|Y0081_MYCTU	N/A	N/A	N/A	N/A	false
tr|O53369|O53369_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WMM7|HIS3_MYCTU	N/A	N/A	N/A	N/A	false
tr|O53669|O53669_MYCTU	0.8757986829816502	0.6570375509702443	0.8186440891034343	0.012689719463097049	false
sp|P9WH71|RIR2B_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WG43|TPIS_MYCTU	0.9137789619280806	0.006304648420955921	0.11755141925010638	0.026831901599712746	false
sp|P9WIU3|PYRF_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WQH5|PCC6_MYCTU	0.8831737752564983	0.4362047268148198	0.6936204517158775	0.010466325415251831	false
tr|I6YF40|I6YF40_MYCTU	0.8657742453848527	6.020668511294698E-4	0.053880414440599295	0.049048092225573894	false
tr|O06592|O06592_MYCTU	0.8159578131706082	0.13447932976507573	0.4549891538354493	0.007934060383340649	false
tr|P95034|P95034_MYCTU	0.9176639639014514	7.884655133699819E-4	0.055863138695351214	0.02107627004835086	false
tr|I6YGS0|I6YGS0_MYCTU	N/A	N/A	N/A	N/A	false
tr|I6WZS8|I6WZS8_MYCTU	0.7656302278822794	0.39484099567519954	0.6712774448360509	0.0038513909596945895	false
tr|P95234|P95234_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WI65|PKNK_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WLD7|Y2300_MYCTU	N/A	N/A	N/A	N/A	false
tr|L7N692|L7N692_MYCTU	0.8159733663550277	2.3523063362190472E-5	0.053880414440599295	0.09190473989689223	false
sp|P9WLN1|Y2005_MYCTU	0.9346933420631147	0.0549789023624446	0.34104113774742195	0.007214106105224608	false
sp|P9WPP5|CP123_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WF25|RELJ_MYCTU	N/A	N/A	N/A	N/A	false
tr|I6Y8H4|I6Y8H4_MYCTU	N/A	N/A	N/A	N/A	false
sp|O65934|ABC1_MYCTU	0.8128842654667812	7.811045421384175E-5	0.053880414440599295	0.10446485000039966	false
sp|P9WFK3|Y504_MYCTU	0.7622034220840942	6.778164458466905E-8	0.039577613516367474	0.17511590692815035	false
tr|I6YGX9|I6YGX9_MYCTU	0.9020683790836053	0.03757133089245175	0.2916894800738517	0.011804515139995487	false
tr|I6YEW1|I6YEW1_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WQ25|GLGX_MYCTU	N/A	N/A	N/A	N/A	false
tr|O05576|O05576_MYCTU	0.8393233621513387	2.089829006307064E-5	0.053880414440599295	0.07914596461113849	false
sp|P9WGF3|SMC_MYCTU	0.650111050585004	2.9557707499578657E-6	0.039577613516367474	0.32773723637765584	true
sp|P9WGP3|SECA2_MYCTU	0.9000668897112079	0.006795043131991701	0.12060633704691864	0.036565465369678155	false
tr|O05876|O05876_MYCTU	N/A	N/A	N/A	N/A	false
sp|O53176|Y2449_MYCTU	0.905428563528116	0.15346784058476068	0.47433170138555564	0.0021096692992035094	false
tr|O53537|O53537_MYCTU	0.6957223562969301	N/A	N/A	0.17288116301543485	false
sp|P9WF45|WHIA_MYCTU	0.8940240413003984	0.06949707519778996	0.3680213424427249	0.009991736159476457	false
tr|O53637|O53637_MYCTU	N/A	N/A	N/A	N/A	false
tr|I6Y3V3|I6Y3V3_MYCTU	N/A	N/A	N/A	N/A	false
tr|I6XWA1|I6XWA1_MYCTU	0.8939308948213623	0.0021041273854540106	0.07915522703273495	0.028118225598383475	false
sp|P9WMN5|Y2204_MYCTU	0.9026233081216496	0.025033881879071452	0.2514449299090319	0.013857667075927978	false
sp|P9WI83|PKNA_MYCTU	N/A	N/A	N/A	N/A	false
tr|P71898|P71898_MYCTU	0.8428458731584275	0.3467671578749143	0.6388057778437563	0.009135012113659136	false
tr|Q6MWZ8|Q6MWZ8_MYCTU	0.9044199699973138	0.013330110423568457	0.18500472984864486	0.024390516945171886	false
sp|P9WQF7|Y873_MYCTU	0.9017514418846206	2.1657763156559088E-7	0.039577613516367474	0.060183301915168456	false
sp|P9WGA1|TATA_MYCTU	0.7428571428571429	N/A	N/A	N/A	false
tr|L7N6B2|L7N6B2_MYCTU	N/A	N/A	N/A	N/A	false
tr|P96277|P96277_MYCTU	N/A	N/A	N/A	N/A	false
tr|I6YCB9|I6YCB9_MYCTU	N/A	N/A	N/A	N/A	false
tr|O06311|O06311_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WGV3|SAHH_MYCTU	0.9423235766818763	0.1839118814919891	0.5004727290587166	0.0062973108016707805	false
tr|O06560|O06560_MYCTU	N/A	N/A	N/A	N/A	false
tr|O06829|O06829_MYCTU	N/A	N/A	N/A	N/A	false
tr|P95151|P95151_MYCTU	N/A	N/A	N/A	N/A	false
tr|P95251|P95251_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WHP5|35KD_MYCTU	0.9219289305754741	0.007830458003378208	0.13136637254726494	0.021907674752792306	false
tr|P95202|P95202_MYCTU	0.8724712220096272	0.39627518226955155	0.6716901074729811	0.0050709706717907395	false
tr|O33186|O33186_MYCTU	N/A	N/A	N/A	N/A	false
tr|I6XD65|I6XD65_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WLX5|Y1480_MYCTU	0.8046302742405717	0.0069799955478262316	0.12093159685556729	0.06227689137368591	false
sp|P9WKP5|Y898_MYCTU	0.7742263093964479	0.10638720269849569	0.4293493146555362	0.038547041407997786	false
tr|Q93IG6|Q93IG6_MYCTU	N/A	N/A	N/A	N/A	false
tr|I6Y2E2|I6Y2E2_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WKA7|Y3480_MYCTU	N/A	N/A	N/A	N/A	false
tr|O53578|O53578_MYCTU	0.8454158732076156	0.004417590686146309	0.10184467321801403	0.04689396131688223	false
sp|P9WKU9|Y487_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WL59|Y2633_MYCTU	N/A	N/A	N/A	N/A	false
tr|P96404|P96404_MYCTU	0.7813783521723042	0.07393799164185945	0.37549785261995294	0.0913255519743051	false
sp|P9WNS7|DUS_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WGQ5|Y927C_MYCTU	0.807362822924661	0.2434949623272052	0.5569056650522378	0.024329054490195432	false
tr|I6YA00|I6YA00_MYCTU	0.6807608621371352	0.0021643106233303296	0.07915522703273495	0.15997771499250263	false
sp|P9WPC7|Y2667_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WHK7|PYRG_MYCTU	0.8775642342720367	1.7617973516808177E-5	0.053880414440599295	0.06096680800428012	false
sp|P9WLD9|Y2297_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WPA1|COAX_MYCTU	0.763793784125132	N/A	N/A	0.0010328592229304227	false
tr|O53505|O53505_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WLN5|Y2001_MYCTU	0.8066488446699077	N/A	N/A	N/A	false
tr|O53905|O53905_MYCTU	0.792911758670775	0.03508014494691713	0.28412560440171175	0.060423247925427664	false
tr|I6Y890|I6Y890_MYCTU	N/A	N/A	N/A	N/A	false
sp|O33341|Y2859_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WNV9|DNAJ1_MYCTU	0.9034024083470783	0.0011620840170509289	0.06108718607961067	0.030835995997689766	false
sp|P9WHW3|PPIA_MYCTU	0.931418126521887	0.023937610180891113	0.2488522798824962	0.013939881739996433	false
sp|P9WJI1|FPRB_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WG33|TAL_MYCTU	0.9447514743389505	0.0021023106609798716	0.07915522703273495	0.01709674513657939	false
tr|O53146|O53146_MYCTU	0.8826468686058577	0.05996781814474583	0.3521674684187884	0.02747428935434118	false
sp|P9WFV5|SYH_MYCTU	0.8518591618911628	0.07147453942974971	0.37024219095956673	0.017751098700162494	false
tr|O53246|O53246_MYCTU	N/A	N/A	N/A	N/A	false
tr|O53346|O53346_MYCTU	0.8854278561007047	0.005373333466960287	0.10627322147913487	0.02207923472457032	false
tr|O53695|O53695_MYCTU	0.8864629241575013	0.11285427476662944	0.4329994533422519	0.002553217540873254	false
sp|P9WJP5|MQO_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WQ15|AOFH_MYCTU	N/A	N/A	N/A	N/A	false
tr|O06138|O06138_MYCTU	0.6848600473421711	N/A	N/A	0.015147794626383633	false
sp|P9WHF5|THT3_MYCTU	0.7922445970516172	0.6981116058591263	0.842762180087989	0.03833761627565113	false
tr|O06238|O06238_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WG59|THRC_MYCTU	0.9111168995351587	0.3114570256768658	0.6088249821167013	0.013505350676667296	false
tr|P95278|P95278_MYCTU	N/A	N/A	N/A	N/A	false
tr|P95029|P95029_MYCTU	0.9251528193750655	0.014578281863785498	0.19082063659677176	0.016194487952305114	false
sp|P96825|Y0148_MYCTU	0.9137441976170668	1.2584583477285293E-6	0.039577613516367474	0.045480422500402844	false
tr|O05461|O05461_MYCTU	N/A	N/A	N/A	N/A	false
tr|P95229|P95229_MYCTU	N/A	N/A	N/A	N/A	false
tr|O05312|O05312_MYCTU	0.7427836878786644	0.0035843518963681914	0.0928026799694134	0.11995236310666722	false
tr|I6YGH7|I6YGH7_MYCTU	N/A	N/A	N/A	N/A	false
tr|P95160|P95160_MYCTU	N/A	N/A	N/A	N/A	false
tr|O69689|O69689_MYCTU	0.883368351881707	8.235116345992999E-4	0.0566721695891647	0.040795751122766385	false
tr|O05861|O05861_MYCTU	0.8220345736218825	1.1400288714548096E-4	0.053880414440599295	0.09116198660303015	false
sp|P9WI97|PHOU1_MYCTU	N/A	N/A	N/A	N/A	false
tr|O50451|O50451_MYCTU	0.6920146244712069	0.10690529199965818	0.4293493146555362	0.06250413577066746	false
sp|P9WMG9|Y043_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WH67|RS10_MYCTU	0.8394879018358109	9.790598255908259E-5	0.053880414440599295	0.07249005991113194	false
sp|P9WNZ1|COABC_MYCTU	0.8783890380190172	0.8803968633567247	0.9372718484576904	0.03896530138254745	false
tr|O07422|O07422_MYCTU	0.5676757072927395	0.2591929078302099	0.5701256497551415	0.08388186373432364	false
tr|I6Y4K0|I6Y4K0_MYCTU	N/A	N/A	N/A	N/A	false
sp|P95141|FAA29_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WG73|THIG_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WHJ9|RADA_MYCTU	N/A	N/A	N/A	N/A	false
tr|O33271|O33271_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WJQ5|MOEA2_MYCTU	N/A	N/A	N/A	N/A	false
sp|P9WN55|GCSH_MYCTU	0.23623738417402662	N/A	N/A	N/A	false
sp|P9WJA1|HSAA_MYCTU	0.8121800835453585	0.02816486836920358	0.25948236676293907	0.041655331734907604	false
sp|P9WH43|RS1_MYCTU	0.9301280339156968	2.069865768039209E-4	0.053880414440599295	0.02759053930088073	false
sp|P9WMK7|DBH_MYCTU	0.9358423981555347	0.001879730453919347	0.07181421807405389	0.01535472015874632	false
sp|P9WN61|GATB_MYCTU	0.877016885202397	0.0053569045547767645	0.10627322147913487	0.02968310396386766	false
sp|P9WMA9|Y0079_MYCTU	0.9367906376165976	0.44726465339968524	0.6992885343592572	0.005883404659308929	false
sp|P9WNM3|EFP_MYCTU	0.8720064839289645	0.02851985708156677	0.26168093147335075	0.027726368970840527	false
sp|P9WP11|Y1558_MYCTU	0.91378693309047	0.07828744821602104	0.38334337699099386	0.006277066984040314	false
sp|O69659|Y3691_MYCTU	N/A	N/A	N/A	N/A	false
