Protein	Corr_DrugRep_avg_ContRep_avg	PValue	FDR	Fold-change 	Fold-change 
Y51A2D.19c	N/A	N/A	N/A	N/A	false
R08C7.10c	N/A	N/A	N/A	N/A	false
F52D10.1	N/A	N/A	N/A	N/A	false
Y51A2D.19b	N/A	N/A	N/A	N/A	false
R08C7.10b	N/A	N/A	N/A	N/A	false
Y51A2D.19a	N/A	N/A	N/A	N/A	false
R08C7.10a	N/A	N/A	N/A	N/A	false
F57B10.3b	0.8408856872422081	0.5317341086933887	1.0	0.015285865343336171	false
F56D6.2	0.9285714285714286	N/A	N/A	N/A	false
F57B10.3a	0.8408856872422081	0.5317341086933887	1.0	0.015285865343336171	false
F41D9.3e	0.6823042805436312	N/A	N/A	0.04057766055749401	false
F41D9.3c	0.63175816518307	N/A	N/A	0.0018578369087729374	false
F41D9.3b	0.6993944535728338	0.8547690787496088	1.0	0.13618588198112092	false
F41D9.3a	0.6993944535728338	0.8547690787496088	1.0	0.13618588198112092	false
C41G7.9b	0.8738307823903615	0.953772210249498	1.0	0.07606237398317602	false
C41G7.9a	0.8738307823903615	0.953772210249498	1.0	0.07606237398317602	false
C28C12.1	N/A	N/A	N/A	N/A	false
C32E8.11	N/A	N/A	N/A	N/A	false
T20D4.3	N/A	N/A	N/A	N/A	false
F11C1.5d	0.7759982578250908	0.5617675811712172	1.0	0.0855544246122441	false
F11C1.5c	0.8015420332001286	0.6088297286491993	1.0	0.0895578201851972	false
C53H9.1	0.9416899486276831	0.8766379636731327	1.0	0.010722688081301942	false
F11C1.5b	0.7657238002662514	0.44996888915246047	1.0	0.06397846932317679	false
F11C1.5a	0.7759982578250908	0.5617675811712172	1.0	0.0855544246122441	false
F19C7.1	0.8484662192664145	0.6105489347334084	1.0	0.03473131336679013	false
T03F1.11	0.7796779243243609	0.8794491992205162	1.0	0.11736103758348562	false
C18F10.7a	N/A	N/A	N/A	N/A	false
T03F1.10	N/A	N/A	N/A	N/A	false
C46H11.9	N/A	N/A	N/A	N/A	false
C02G6.2	N/A	N/A	N/A	N/A	false
C02G6.1	0.7770636085933202	0.9619430677987295	1.0	0.10523849923872779	false
F14H3.6	N/A	N/A	N/A	N/A	false
F40F8.9	0.8036016523129607	N/A	N/A	0.10070697791148497	false
F52C12.6	N/A	N/A	N/A	N/A	false
C30H7.2b	0.6508392859039441	0.04103035096816505	0.5163717022859957	0.14927089367750307	false
C30H7.2a	0.6508392859039441	0.04103035096816505	0.5163717022859957	0.14927089367750307	false
F52C12.4	N/A	N/A	N/A	N/A	false
F40F8.4	N/A	N/A	N/A	N/A	false
F40F8.1	0.7193111062461539	0.613631067905356	1.0	0.07402040709621165	false
Y43F4B.4	N/A	N/A	N/A	N/A	false
C34B2.8	0.8037281673103623	0.19748341282654025	1.0	0.007024342073584648	false
C34B2.7	0.9076465650063006	0.9922787297723942	1.0	0.060343604952189434	false
F28H7.2	N/A	N/A	N/A	N/A	false
C34B2.6	0.782051084948993	0.7813214462781819	1.0	0.0023629941930617482	false
C34B2.5	N/A	N/A	N/A	N/A	false
W09D6.6	N/A	N/A	N/A	N/A	false
E02H9.5	N/A	N/A	N/A	N/A	false
B0041.7	N/A	N/A	N/A	N/A	false
F57B10.14	0.5903716341985608	0.13910113772676758	1.0	0.045600720745258554	false
Y51A2D.15c	N/A	N/A	N/A	N/A	false
Y51A2D.15b	N/A	N/A	N/A	N/A	false
B0041.4	0.94236809963039	0.9368609512275745	1.0	0.025691628440163355	false
Y51A2D.15a	N/A	N/A	N/A	N/A	false
F57B10.11	0.8026869724196019	0.07254229821454809	0.8097116618939468	0.03950845375700858	false
F57B10.10	N/A	N/A	N/A	N/A	false
E03H12.10	0.6953215637551026	0.7804867211684335	1.0	0.12221607167159394	false
C01G8.3	N/A	N/A	N/A	N/A	false
W04C9.4	N/A	N/A	N/A	N/A	false
F45C12.3	N/A	N/A	N/A	N/A	false
T28F2.3	0.7466931216931217	N/A	N/A	0.170947741364039	false
F02A9.4b	0.7716952384268347	0.9972227497828547	1.0	0.13195704744473452	false
