Protein	Corr_DrugRep_avg_ContRep_avg	PValue	FDR	Fold-change 	Fold-change 
W08A12.1b	0.7334445122979889	N/A	N/A	0.18278318050651554	false
W08A12.1a	0.7334445122979889	N/A	N/A	0.18278318050651554	false
ZC395.10	0.9156081390978773	0.34734968168128305	1.0	0.002735823446726589	false
ZK430.8	N/A	N/A	N/A	N/A	false
W08E3.2	N/A	N/A	N/A	N/A	false
W08E3.1	0.8353460434576753	0.7081580681481426	1.0	0.04078727471692122	false
C26C6.2	0.8535665403154254	0.9416999228988336	1.0	0.058935002462560164	false
ZK430.3	0.5942150432205674	N/A	N/A	0.024058939870379353	false
ZK430.2	0.6523689032942841	0.862704682224998	1.0	0.24168576733154964	true
ZK430.1	0.8326067667431376	0.9932129803532405	1.0	0.0988244438354361	false
ZK354.5	0.8582169246527309	0.18020665197350172	1.0	0.006422818317041345	false
F42E11.4	0.7911449762260161	0.9606977129364326	1.0	0.09881125541198732	false
ZK354.4	0.8582169246527309	0.18020665197350172	1.0	0.006422818317041345	false
ZK354.1	0.8582169246527309	0.18020665197350172	1.0	0.006422818317041345	false
T03F1.8b	0.7719015122326326	0.8619784419638649	1.0	0.07387638536707873	false
T03F1.8a	0.7719015122326326	0.8619784419638649	1.0	0.07387638536707873	false
C01F1.2	N/A	N/A	N/A	N/A	false
Y54G11A.9	N/A	N/A	N/A	N/A	false
Y54G11A.7	0.7262364840382475	0.007889321978359485	0.10210227546062442	0.11983203816853136	false
Y54G11A.6	0.8813119734648137	0.7286351148663877	1.0	0.02241370652028393	false
Y54G11A.5	0.9024824764273706	0.24810123762644926	1.0	0.003278966723222955	false
Y54G11A.4	0.6451040319005156	N/A	N/A	0.0280888681183705	false
C42C1.11c	0.6548399590337585	0.269607374847953	1.0	0.010706673023462256	false
Y54G11A.2	0.6871267556185329	0.07219497171642261	0.952631947023445	0.06803777823386556	false
C42C1.11b	0.7777777777777778	N/A	N/A	N/A	false
Y54G11A.1	N/A	N/A	N/A	N/A	false
C42C1.11a	0.6542621430101927	0.2657766585901025	1.0	0.013599867203656565	false
E04A4.4b	0.5	N/A	N/A	0.06666666666666676	false
E04A4.4a	0.5	N/A	N/A	0.06666666666666676	false
Y110A7A.17a	N/A	N/A	N/A	N/A	false
T02D1.8	0.8001185629593136	0.4212966570263145	1.0	0.032467144908933016	false
C03B1.12	0.8553961910690323	0.44081153482096164	1.0	0.027919725007798057	false
T02D1.5	N/A	N/A	N/A	N/A	false
C29F9.7	0.756342032619229	0.6964321286731265	1.0	0.026108393668381608	false
Y45F10C.4	0.8130221183041456	0.9866243930670622	1.0	0.07666868872236918	false
Y45F10C.2	0.8567626548134119	0.09589481672719401	1.0	0.002721604660323557	false
F52E1.14	0.7777777777777778	N/A	N/A	0.28571428571428553	true
Y62E10A.12	0.8481010373346752	0.004060952777424013	0.08136275075768509	0.06443925971913736	false
B0228.7	0.8014172120228089	0.9616846796651735	1.0	0.07271912597284645	false
Y62E10A.10	N/A	N/A	N/A	N/A	false
Y48E1A.1a	0.9166666666666667	N/A	N/A	0.09090909090909094	false
Y97E10AR.7	0.6855152480063996	0.06985173141336032	0.947785533056606	0.08680754296391856	false
Y97E10AR.6	N/A	N/A	N/A	N/A	false
Y97E10AR.5	N/A	N/A	N/A	N/A	false
C17D12.2	N/A	N/A	N/A	N/A	false
E01G4.1	0.6791477122325756	N/A	N/A	0.3078361542487007	true
D2005.5	N/A	N/A	N/A	N/A	false
ZC482.7	N/A	N/A	N/A	N/A	false
K08F9.2	0.8186131362108778	0.8544317238721324	1.0	0.11848117368184728	false
D2005.1	0.6286350295280281	N/A	N/A	0.04106267232956546	false
Y39A1B.3	N/A	N/A	N/A	N/A	false
C10C6.6	N/A	N/A	N/A	N/A	false
H21P03.1	0.6293877517111668	N/A	N/A	0.07254293201480463	false
C49F8.3	N/A	N/A	N/A	N/A	false
C04G2.9	0.776298875479792	0.9037097896096005	1.0	0.0833443805083117	false
C04G2.6	N/A	N/A	N/A	N/A	false
C10C5.6b	N/A	N/A	N/A	N/A	false
C10C5.6a	N/A	N/A	N/A	N/A	false
C04G2.4	0.8583863792844855	0.18020665197350172	1.0	0.0064475829954015445	false
Y51H1A.5	0.746915074200683	0.9993464279585208	1.0	0.1555784291227653	false
C04F12.5	N/A	N/A	N/A	N/A	false
C04F12.4	0.908347185382142	0.8676996402761141	1.0	0.031320520960541366	false
F26E4.8b	0.9367414271116431	0.9475671145114599	1.0	0.026896439117526812	false
F26E4.8a	0.9367414271116431	0.9475671145114599	1.0	0.026896439117526812	false
