ProteinID	CR1F1	CR1F2	CR1F3	CR1F4	CR1F5	CR1F6	CR1F7	CR1F8	CR1F9	CR1F10	DR1F1	DR1F2	DR1F3	DR1F4	DR1F5	DR1F6	DR1F7	DR1F8	DR1F9	DR1F10	CR2F1	CR2F2	CR2F3	CR2F4	CR2F5	CR2F6	CR2F7	CR2F8	CR2F9	CR2F10	DR2F1	DR2F2	DR2F3	DR2F4	DR2F5	DR2F6	DR2F7	DR2F8	DR2F9	DR2F10	CR3F1	CR3F2	CR3F3	CR3F4	CR3F5	CR3F6	CR3F7	CR3F8	CR3F9	CR3F10	DR3F1	DR3F2	DR3F3	DR3F4	DR3F5	DR3F6	DR3F7	DR3F8	DR3F9	DR3F10	CR4F1	CR4F2	CR4F3	CR4F4	CR4F5	CR4F6	CR4F7	CR4F8	CR4F9	CR4F10
Reverse_R05D3.12a	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07B1.2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
C47B2.4	0	0	0	0	0	0	23	17	12	6	0	0	0	0	0	3	12	16	12	8	0	0	0	0	0	2	24	17	3	4	0	0	0	2	0	0	21	15	6	4	0	0	0	0	2	4	23	36	27	10	0	0	0	0	0	2	28	33	28	12	0	0	0	2	9	6	35	27	3	4
C47B2.5	2	2	0	0	5	10	23	0	0	0	3	2	0	0	3	11	5	2	0	0	2	2	0	0	0	12	19	0	0	0	0	0	2	2	4	5	15	0	0	0	2	0	0	0	0	11	21	10	3	0	2	0	0	0	0	5	20	5	0	0	3	2	2	0	7	7	19	0	0	0
C44E12.1	0	0	0	0	0	0	2	7	8	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	4	3	3	0	0	0	0	0	0	0	0	12	7	3	0	0	0	0	0	0	0	5	13	3	0	0	0	0	0	0	3	12	0	0
C47B2.2	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	0	0	0
C47B2.3	122	135	116	153	168	79	17	15	6	17	113	119	132	149	152	67	27	19	5	15	108	118	125	135	162	68	14	9	8	17	110	128	120	159	160	46	11	10	7	17	98	121	133	141	212	95	14	11	0	5	108	122	160	155	167	82	12	14	0	12	125	119	129	152	67	156	15	7	4	6
R06A4.8	0	0	24	43	0	0	0	0	0	0	0	5	23	17	0	0	0	0	0	0	0	0	10	19	0	0	0	0	0	0	2	0	16	19	0	0	0	0	0	0	0	2	5	54	0	0	0	0	0	0	0	2	19	33	0	0	0	0	0	0	0	0	8	47	3	0	0	0	0	0
C08F8.9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
Y37E3.11b	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
